,date,consumer_sentiment,consumer_change
273,2000-01-01,112.0,
272,2000-02-01,111.3,-0.006249999999999978
271,2000-03-01,107.1,-0.037735849056603765
270,2000-04-01,109.2,0.019607843137255054
269,2000-05-01,110.7,0.013736263736263687
268,2000-06-01,106.4,-0.038843721770551065
267,2000-07-01,108.3,0.017857142857142794
266,2000-08-01,107.3,-0.009233610341643606
265,2000-09-01,106.8,-0.004659832246039164
264,2000-10-01,105.8,-0.009363295880149836
263,2000-11-01,107.6,0.017013232514177634
262,2000-12-01,98.4,-0.08550185873605942
261,2001-01-01,94.7,-0.03760162601626016
260,2001-02-01,90.6,-0.043294614572333745
259,2001-03-01,91.5,0.009933774834437248
258,2001-04-01,88.4,-0.033879781420764976
257,2001-05-01,92.0,0.040723981900452344
256,2001-06-01,92.6,0.006521739130434634
255,2001-07-01,92.4,-0.002159827213822796
254,2001-08-01,91.5,-0.009740259740259827
253,2001-09-01,81.8,-0.10601092896174868
252,2001-10-01,82.7,0.011002444987775029
251,2001-11-01,83.9,0.0145102781136639
250,2001-12-01,88.8,0.058402860548271596
249,2002-01-01,93.0,0.04729729729729737
248,2002-02-01,90.7,-0.02473118279569886
247,2002-03-01,95.7,0.055126791620727644
246,2002-04-01,93.0,-0.028213166144200663
245,2002-05-01,96.9,0.041935483870967794
244,2002-06-01,92.4,-0.04643962848297212
243,2002-07-01,88.1,-0.046536796536796654
242,2002-08-01,87.6,-0.005675368898978461
241,2002-09-01,86.1,-0.017123287671232834
240,2002-10-01,80.6,-0.06387921022067367
239,2002-11-01,84.2,0.04466501240694809
238,2002-12-01,86.7,0.029691211401425166
237,2003-01-01,82.4,-0.049596309111880066
236,2003-02-01,79.9,-0.03033980582524276
235,2003-03-01,77.6,-0.028785982478097716
234,2003-04-01,86.0,0.10824742268041243
233,2003-05-01,92.1,0.07093023255813957
232,2003-06-01,89.7,-0.026058631921824005
231,2003-07-01,90.9,0.013377926421404673
230,2003-08-01,89.3,-0.017601760176017667
229,2003-09-01,87.7,-0.017917133258678497
228,2003-10-01,89.6,0.021664766248574496
227,2003-11-01,93.7,0.0457589285714286
226,2003-12-01,92.6,-0.011739594450373647
225,2004-01-01,103.8,0.12095032397408212
224,2004-02-01,94.4,-0.09055876685934483
223,2004-03-01,95.8,0.01483050847457612
222,2004-04-01,94.2,-0.01670146137787054
221,2004-05-01,90.2,-0.0424628450106157
220,2004-06-01,95.6,0.05986696230598665
219,2004-07-01,96.7,0.011506276150627714
218,2004-08-01,95.9,-0.008273009307135482
217,2004-09-01,94.2,-0.017726798748696537
216,2004-10-01,91.7,-0.026539278131634814
215,2004-11-01,92.8,0.011995637949836269
214,2004-12-01,97.1,0.0463362068965516
213,2005-01-01,95.5,-0.016477857878475777
212,2005-02-01,94.1,-0.01465968586387445
211,2005-03-01,92.6,-0.015940488841657774
210,2005-04-01,87.7,-0.05291576673866083
209,2005-05-01,86.9,-0.009122006841505104
208,2005-06-01,96.0,0.10471806674338313
207,2005-07-01,96.5,0.005208333333333259
206,2005-08-01,89.1,-0.0766839378238342
205,2005-09-01,76.9,-0.1369248035914702
204,2005-10-01,74.2,-0.035110533159948054
203,2005-11-01,81.6,0.09973045822102411
202,2005-12-01,91.5,0.12132352941176472
201,2006-01-01,91.2,-0.003278688524590123
200,2006-02-01,86.7,-0.049342105263157854
199,2006-03-01,88.9,0.025374855824682907
198,2006-04-01,87.4,-0.01687289088863897
197,2006-05-01,79.1,-0.09496567505720832
196,2006-06-01,84.9,0.07332490518331247
195,2006-07-01,84.7,-0.002355712603062443
194,2006-08-01,82.0,-0.031877213695395534
193,2006-09-01,85.4,0.04146341463414638
192,2006-10-01,93.6,0.09601873536299754
191,2006-11-01,92.1,-0.01602564102564108
190,2006-12-01,91.7,-0.004343105320303908
189,2007-01-01,96.9,0.05670665212649939
188,2007-02-01,91.3,-0.057791537667698734
187,2007-03-01,88.4,-0.03176341730558585
186,2007-04-01,87.1,-0.014705882352941346
185,2007-05-01,88.3,0.013777267508610747
184,2007-06-01,85.3,-0.033975084937712396
183,2007-07-01,90.4,0.05978898007034017
182,2007-08-01,83.4,-0.07743362831858402
181,2007-09-01,83.4,0.0
180,2007-10-01,80.9,-0.029976019184652314
179,2007-11-01,76.1,-0.05933250927070466
178,2007-12-01,75.5,-0.007884362680683266
177,2008-01-01,78.4,0.03841059602649022
176,2008-02-01,70.8,-0.09693877551020413
175,2008-03-01,69.5,-0.01836158192090387
174,2008-04-01,62.6,-0.09928057553956837
173,2008-05-01,59.8,-0.04472843450479236
172,2008-06-01,56.4,-0.05685618729096986
171,2008-07-01,61.2,0.08510638297872353
170,2008-08-01,63.0,0.02941176470588225
169,2008-09-01,70.3,0.1158730158730159
168,2008-10-01,57.6,-0.1806543385490753
167,2008-11-01,55.3,-0.03993055555555558
166,2008-12-01,60.1,0.08679927667269438
165,2009-01-01,61.2,0.01830282861896837
164,2009-02-01,56.3,-0.08006535947712423
163,2009-03-01,57.3,0.017761989342806483
162,2009-04-01,65.1,0.1361256544502618
