,timestamp,value
232,2003-06-01,271242
233,2003-05-01,281482
234,2003-04-01,265990
235,2003-03-01,264532
236,2003-02-01,233478
237,2003-01-01,242271
238,2002-12-01,308821
239,2002-11-01,263738
240,2002-10-01,259945
241,2002-09-01,246350
242,2002-08-01,277716
243,2002-07-01,266795
244,2002-06-01,260385
245,2002-05-01,271682
246,2002-04-01,257357
247,2002-03-01,257133
248,2002-02-01,228084
249,2002-01-01,230546
250,2001-12-01,298666
251,2001-11-01,262004
252,2001-10-01,265188
253,2001-09-01,236210
254,2001-08-01,266460
255,2001-07-01,251504
256,2001-06-01,260315
257,2001-05-01,268658
258,2001-04-01,249062
259,2001-03-01,253439
260,2001-02-01,223971
261,2001-01-01,226791
262,2000-12-01,294197
263,2000-11-01,252145
264,2000-10-01,245167
265,2000-09-01,243624
266,2000-08-01,257487
267,2000-07-01,244445
268,2000-06-01,255066
269,2000-05-01,257581
270,2000-04-01,239051
271,2000-03-01,253717
272,2000-02-01,227087
273,2000-01-01,213709
274,1999-12-01,293013
275,1999-11-01,240857
276,1999-10-01,233193
277,1999-09-01,230665
278,1999-08-01,240478
279,1999-07-01,236992
280,1999-06-01,236830
281,1999-05-01,237462
282,1999-04-01,227109
283,1999-03-01,230230
284,1999-02-01,199451
285,1999-01-01,196810
286,1998-12-01,265618
287,1998-11-01,218969
288,1998-10-01,220499
289,1998-09-01,208915
290,1998-08-01,216605
291,1998-07-01,217687
292,1998-06-01,220867
293,1998-05-01,221155
294,1998-04-01,212262
295,1998-03-01,207973
296,1998-02-01,183767
297,1998-01-01,187445
298,1997-12-01,249389
299,1997-11-01,207533
300,1997-10-01,210145
301,1997-09-01,201415
302,1997-08-01,211952
303,1997-07-01,208856
304,1997-06-01,205491
305,1997-05-01,211516
306,1997-04-01,199219
307,1997-03-01,203750
308,1997-02-01,178428
309,1997-01-01,181073
310,1996-12-01,237478
311,1996-11-01,203621
312,1996-10-01,201927
313,1996-09-01,189424
314,1996-08-01,204270
315,1996-07-01,197140
316,1996-06-01,196842
317,1996-05-01,205797
318,1996-04-01,191886
319,1996-03-01,191851
320,1996-02-01,173941
321,1996-01-01,167372
322,1995-12-01,227552
323,1995-11-01,193405
324,1995-10-01,184276
325,1995-09-01,182521
326,1995-08-01,193370
327,1995-07-01,182909
328,1995-06-01,191609
329,1995-05-01,190269
330,1995-04-01,176635
331,1995-03-01,181910
332,1995-02-01,155156
333,1995-01-01,158004
334,1994-12-01,221549
335,1994-11-01,184272
336,1994-10-01,178642
337,1994-09-01,175128
338,1994-08-01,182445
339,1994-07-01,173198
340,1994-06-01,178509
341,1994-05-01,175527
342,1994-04-01,170795
343,1994-03-01,173562
344,1994-02-01,146332
345,1994-01-01,145276
346,1993-12-01,206174
347,1993-11-01,169980
348,1993-10-01,163992
349,1993-09-01,159298
350,1993-08-01,163989
351,1993-07-01,164590
352,1993-06-01,162964
353,1993-05-01,163519
354,1993-04-01,158615
355,1993-03-01,153025
356,1993-02-01,134462
357,1993-01-01,137020
358,1992-12-01,191347
359,1992-11-01,154824
360,1992-10-01,155987
361,1992-09-01,148158
362,1992-08-01,152476
363,1992-07-01,152586
364,1992-06-01,151849
365,1992-05-01,152420
366,1992-04-01,147175
367,1992-03-01,142488
368,1992-02-01,131244
369,1992-01-01,130683
