Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
HAL,Halliburton,Common stocks,Large cap,Energy,"$33,198,190,167 ",1.11%,0,0,0,Analyze
NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$32,979,594,580 ",1.13%,0,0,0,Analyze
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$32,904,999,156 ",0.00%,0,0,0,Analyze
ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$32,816,356,183 ",0.37%,0,0,0,Analyze
WELL,Welltower Inc,REITs,Large cap,Real Estate,"$32,769,362,280 ",2.62%,0,0,0,Analyze
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$32,629,296,726 ",0.60%,0,0,0,Analyze
CSGP,Costar Group Inc,Common stocks,Large cap,Industrials,"$32,543,338,601 ",0.00%,0,0,0,Analyze
OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$32,535,372,614 ",1.41%,0,0,0,Analyze
MTD,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$32,133,060,489 ",0.00%,0,0,0,Analyze
SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$32,131,623,764 ",0.95%,0,0,0,Analyze
ON,ON Semiconductor Corp,Common stocks,Large cap,Information Technology,"$31,999,344,402 ",0.00%,0,0,0,Analyze
VICI,VICI Properties Inc,REITs,Large cap,Real Estate,"$31,994,110,511 ",4.35%,0,0,0,Analyze
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$31,912,097,302 ",4.28%,0,0,0,Analyze
CEG,Constellation Energy Corporation,Common stocks,Large cap,Utilities,"$31,596,469,015 ",0.58%,0,0,0,Analyze
KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$31,475,296,251 ",0.00%,0,0,0,Analyze
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$31,272,745,046 ",1.81%,0,0,0,Analyze
WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$30,934,664,455 ",2.91%,0,0,0,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$30,850,703,563 ",1.79%,0,0,0,Analyze
ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$30,618,599,365 ",1.68%,0,0,0,Analyze
GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$30,535,844,216 ",1.11%,0,0,0,Analyze
PCG,Pacific Gas & Electric Co.,Common stocks,Large cap,Utilities,"$30,327,600,000 ",0.00%,0,0,0,Analyze
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$30,087,630,375 ",3.31%,0,0,0,Analyze
FAST,Fastenal,Common stocks,Large cap,Industrials,"$30,018,345,311 ",2.34%,0,0,0,Analyze
DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$29,688,711,625 ",2.10%,0,0,0,Analyze
MTB,M&T Bank Corp,Common stocks,Large cap,Financials,"$29,667,055,261 ",2.77%,0,0,0,Analyze
PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$29,443,024,393 ",3.57%,0,0,0,Analyze
OKE,Oneok Inc,Common stocks,Large cap,Energy,"$29,329,111,112 ",5.57%,0,0,0,Analyze
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$29,096,833,682 ",1.06%,0,0,0,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$28,967,219,491 ",0.00%,0,0,0,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$28,872,309,438 ",2.51%,0,0,0,Analyze
GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$28,689,921,874 ",3.15%,0,0,0,Analyze
LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$28,684,256,303 ",5.09%,0,0,0,Analyze
ES,Eversource Energy,Common stocks,Large cap,Utilities,"$28,623,903,447 ",3.03%,0,0,0,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$28,381,998,732 ",2.01%,0,0,0,Analyze
STT,State Street Corp,Common stocks,Large cap,Financials,"$28,272,738,326 ",3.00%,0,0,0,Analyze
VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$28,157,650,398 ",0.68%,0,0,0,Analyze
TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$27,799,022,613 ",3.71%,0,0,0,Analyze
WBD,"Warner Bros. Discovery, Inc. - Series A",Common stocks,Large cap,Communication Services,"$27,538,010,810 ",0.00%,0,0,0,Analyze
AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$27,503,284,221 ",1.69%,0,0,0,Analyze
IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$27,126,698,923 ",0.00%,0,0,0,Analyze
