Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$87,026,587,045 ",1.74%,0,0,0,Analyze
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$84,564,660,678 ",1.31%,0,0,0,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$83,791,111,604 ",2.05%,0,0,0,Analyze
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$82,692,740,000 ",0.00%,0,0,0,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$81,155,569,464 ",0.00%,0,0,0,Analyze
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$80,683,611,262 ",7.85%,0,0,0,Analyze
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$80,394,475,565 ",1.26%,0,0,0,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$79,485,199,000 ",1.07%,0,0,0,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$78,745,135,079 ",0.00%,0,0,0,Analyze
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$76,696,788,546 ",1.44%,0,0,0,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$76,393,760,197 ",0.00%,0,0,0,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$75,881,985,553 ",3.98%,0,0,0,Analyze
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$75,211,516,368 ",2.39%,0,0,0,Analyze
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$72,913,239,911 ",1.17%,0,0,0,Analyze
SO,Southern Co,Common stocks,Large cap,Utilities,"$72,244,328,866 ",4.01%,0,0,0,Analyze
MMM,3M,Common stocks,Large cap,Industrials,"$70,751,093,120 ",4.58%,0,0,0,Analyze
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$70,247,381,150 ",2.15%,0,0,0,Analyze
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$70,129,853,088 ",0.86%,0,0,0,Analyze
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$69,265,957,371 ",1.95%,0,0,0,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$68,347,356,303 ",2.04%,0,0,0,Analyze
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$68,148,951,179 ",0.57%,0,0,0,Analyze
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$67,926,948,724 ",0.00%,0,0,0,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$67,688,207,882 ",1.44%,0,0,0,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$67,424,247,939 ",1.22%,0,0,0,Analyze
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$67,322,348,515 ",1.53%,0,0,0,Analyze
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$67,152,618,995 ",3.41%,0,0,0,Analyze
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$67,083,018,576 ",0.91%,0,0,0,Analyze
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$65,763,672,000 ",1.94%,0,0,0,Analyze
USB,US Bancorp,Common stocks,Large cap,Financials,"$65,539,673,967 ",4.15%,0,0,0,Analyze
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$64,823,665,998 ",0.00%,0,0,0,Analyze
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$64,785,854,000 ",0.96%,0,0,0,Analyze
OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$64,641,974,277 ",0.56%,0,0,0,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$64,253,029,175 ",2.40%,0,0,0,Analyze
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$64,066,844,655 ",0.73%,0,0,0,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$63,311,596,304 ",2.20%,0,0,0,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$62,932,937,249 ",0.72%,0,0,0,Analyze
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$62,925,425,630 ",1.34%,0,0,0,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$62,864,142,167 ",0.00%,0,0,0,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$62,164,329,514 ",1.83%,0,0,0,Analyze
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$61,601,758,752 ",4.24%,0,0,0,Analyze
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$61,547,107,014 ",7.81%,0,0,0,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$60,747,994,215 ",0.00%,0,0,0,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$60,678,685,900 ",4.14%,0,0,0,Analyze
MET,Metlife Inc,Common stocks,Large cap,Financials,"$60,194,988,048 ",2.55%,0,0,0,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$59,941,273,182 ",0.61%,0,0,0,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$59,731,510,778 ",1.37%,0,0,0,Analyze
MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$58,863,800,625 ",1.97%,0,0,0,Analyze
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$58,135,534,026 ",1.96%,0,0,0,Analyze
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$57,820,801,295 ",0.80%,0,0,0,Analyze
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$56,984,148,127 ",0.22%,0,0,0,Analyze
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$56,709,346,000 ",2.12%,0,0,0,Analyze
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$55,413,477,583 ",3.52%,0,0,0,Analyze
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$54,650,838,441 ",1.21%,0,0,0,Analyze
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$54,586,272,000 ",0.93%,0,0,0,Analyze
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$54,371,606,346 ",0.98%,0,0,0,Analyze
KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$54,270,750,084 ",1.97%,0,0,0,Analyze
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$54,224,813,595 ",0.00%,0,0,0,Analyze
MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$53,987,867,510 ",0.51%,0,0,0,Analyze
VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$53,668,695,530 ",2.78%,0,0,0,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$53,240,836,597 ",0.00%,0,0,0,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$53,164,566,489 ",1.64%,0,0,0,Analyze
PSX,Phillips 66,Common stocks,Large cap,Energy,"$52,325,112,301 ",3.41%,0,0,0,Analyze
PSA,Public Storage,REITs,Large cap,Real Estate,"$52,185,677,843 ",2.59%,0,0,0,Analyze
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$51,236,338,169 ",2.75%,0,0,0,Analyze
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$51,116,733,186 ",0.00%,0,0,0,Analyze
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$51,114,816,707 ",0.62%,0,0,0,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$50,854,785,761 ",4.26%,0,0,0,Analyze
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$49,132,881,107 ",2.51%,0,0,0,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$48,883,851,688 ",3.29%,0,0,0,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$47,768,277,043 ",0.00%,0,0,0,Analyze
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$47,649,783,380 ",4.05%,0,0,0,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$47,649,219,818 ",0.99%,0,0,0,Analyze
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$47,613,423,600 ",1.66%,0,0,0,Analyze
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$47,356,298,126 ",0.00%,0,0,0,Analyze
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$47,013,573,600 ",0.88%,0,0,0,Analyze
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$46,932,154,479 ",0.00%,0,0,0,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$46,243,740,094 ",0.92%,0,0,0,Analyze
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$45,989,902,550 ",0.54%,0,0,0,Analyze
ROP,Roper Technologies Inc,Common stocks,Large cap,Information Technology,"$45,986,291,655 ",0.57%,0,0,0,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$45,974,825,369 ",2.06%,0,0,0,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$45,950,673,160 ",0.00%,0,0,0,Analyze
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$45,892,362,517 ",2.14%,0,0,0,Analyze
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$45,400,427,822 ",1.76%,0,0,0,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$45,292,061,410 ",2.08%,0,0,0,Analyze
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$45,223,940,596 ",3.40%,0,0,0,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$44,768,776,320 ",2.20%,0,0,0,Analyze
HES,Hess Corp,Common stocks,Large cap,Energy,"$44,673,896,723 ",0.94%,0,0,0,Analyze
MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$44,476,053,594 ",1.18%,0,0,0,Analyze
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$44,386,938,265 ",2.44%,0,0,0,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$44,320,860,000 ",4.78%,0,0,0,Analyze
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$44,059,678,175 ",1.91%,0,0,0,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$43,697,226,044 ",0.00%,0,0,0,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$43,616,267,475 ",0.00%,0,0,0,Analyze
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$43,612,413,288 ",2.21%,0,0,0,Analyze
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$43,112,904,872 ",1.96%,0,0,0,Analyze
RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$42,954,007,230 ",1.37%,0,0,0,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$42,921,945,566 ",0.00%,0,0,0,Analyze
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$42,741,298,684 ",1.35%,0,0,0,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$42,539,342,589 ",0.00%,0,0,0,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$42,141,667,360 ",1.50%,0,0,0,Analyze
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$41,921,507,189 ",0.00%,0,0,0,Analyze
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$41,920,389,624 ",5.78%,0,0,0,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$41,826,445,419 ",0.00%,0,0,0,Analyze
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$41,678,941,187 ",0.00%,0,0,0,Analyze
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$41,602,948,800 ",1.01%,0,0,0,Analyze
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$41,384,716,392 ",1.22%,0,0,0,Analyze
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$41,305,613,538 ",1.44%,0,0,0,Analyze
WMB,Williams Inc,Common stocks,Large cap,Energy,"$41,216,436,381 ",4.89%,0,0,0,Analyze
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$40,678,716,953 ",0.90%,0,0,0,Analyze
O,Realty Income Corporation,REITs,Large cap,Real Estate,"$40,463,967,112 ",4.51%,0,0,0,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$40,439,317,808 ",0.00%,0,0,0,Analyze
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$40,370,761,447 ",1.70%,0,0,0,Analyze
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$40,269,697,032 ",1.04%,0,0,0,Analyze
