,date,retail_sales,retail_sales_change
183,2007-07-01,333815,-0.012933596302659112
182,2007-08-01,349191,0.04606144121744071
181,2007-09-01,317145,-0.09177212471111795
180,2007-10-01,331073,0.0439168203818443
179,2007-11-01,341848,0.032545692339755794
178,2007-12-01,387473,0.13346575086003143
177,2008-01-01,307576,-0.20620017394760404
176,2008-02-01,308171,0.0019344812339063822
175,2008-03-01,334416,0.08516375648584718
174,2008-04-01,331002,-0.010208841682216141
173,2008-05-01,357277,0.07938018501398791
172,2008-06-01,339791,-0.04894241722808912
171,2008-07-01,344158,0.012852017858036247
170,2008-08-01,342443,-0.00498317633180112
169,2008-09-01,313308,-0.08507985270541374
168,2008-10-01,311422,-0.006019635630114761
167,2008-11-01,299238,-0.03912376132707385
166,2008-12-01,346513,0.15798461425353727
165,2009-01-01,273998,-0.20927064785448168
164,2009-02-01,264465,-0.03479222476076471
163,2009-03-01,290068,0.09681054203769879
162,2009-04-01,292041,0.006801853358522791
161,2009-05-01,307481,0.052869288901215894
160,2009-06-01,306050,-0.0046539460974824864
159,2009-07-01,308847,0.009139029570331747
158,2009-08-01,314505,0.018319750556100578
157,2009-09-01,288071,-0.08404953816314531
156,2009-10-01,300360,0.0426596221070501
155,2009-11-01,303850,0.01161939006525503
154,2009-12-01,362735,0.19379628105973334
153,2010-01-01,279044,-0.23072215253559758
152,2010-02-01,275566,-0.012463984174538756
151,2010-03-01,321305,0.16598201519781108
150,2010-04-01,316940,-0.013585222763417892
149,2010-05-01,324820,0.02486275004732752
148,2010-06-01,319183,-0.017354226956468155
147,2010-07-01,320915,0.005426354160465996
146,2010-08-01,322319,0.004374990262218992
145,2010-09-01,307638,-0.04554804401850343
144,2010-10-01,315059,0.02412250762259549
143,2010-11-01,328381,0.04228414360484867
142,2010-12-01,386878,0.17813759017726372
141,2011-01-01,298626,-0.2281132553414772
140,2011-02-01,299920,0.004333179294502054
139,2011-03-01,345052,0.15048012803414235
138,2011-04-01,339014,-0.01749881177329793
137,2011-05-01,348979,0.029394066321744905
136,2011-06-01,346620,-0.006759719066190217
135,2011-07-01,341381,-0.015114534648895006
134,2011-08-01,352224,0.03176216602564286
133,2011-09-01,333642,-0.052756200599618386
132,2011-10-01,337067,0.010265494152414956
131,2011-11-01,351517,0.04286981519994537
130,2011-12-01,408910,0.16327233106791428
129,2012-01-01,315540,-0.22833875424910122
128,2012-02-01,331470,0.05048488305761545
127,2012-03-01,368502,0.1117205176939089
126,2012-04-01,349194,-0.052395916440073576
125,2012-05-01,373129,0.06854356031317832
124,2012-06-01,356083,-0.045683932366554214
123,2012-07-01,351520,-0.012814428096820096
122,2012-08-01,372986,0.061066226672735535
121,2012-09-01,342582,-0.08151512389204951
120,2012-10-01,355823,0.03865060044018653
119,2012-11-01,368593,0.035888630021106094
118,2012-12-01,416807,0.1308055226225131
117,2013-01-01,333695,-0.1994016415271337
116,2013-02-01,332486,-0.003623068970167398
115,2013-03-01,374171,0.12537369994526082
114,2013-04-01,362964,-0.029951546218172975
113,2013-05-01,389681,0.07360785091634425
112,2013-06-01,369316,-0.052260695286657555
111,2013-07-01,376974,0.02073563019203073
110,2013-08-01,388227,0.02985086504639578
109,2013-09-01,352680,-0.09156241065150028
108,2013-10-01,369773,0.048466031529998954
107,2013-11-01,378686,0.02410397730499514
106,2013-12-01,430585,0.13705022102744757
105,2014-01-01,340476,-0.20927110791132997
104,2014-02-01,337481,-0.008796508417627136
103,2014-03-01,383567,0.13655879886571398
102,2014-04-01,383816,0.0006491695062400549
101,2014-05-01,408288,0.0637597181983034
100,2014-06-01,385482,-0.05585762990830001
99,2014-07-01,394700,0.02391291940998541
98,2014-08-01,401450,0.017101596148973996
97,2014-09-01,374401,-0.06737825382986673
96,2014-10-01,388391,0.037366353188159174
95,2014-11-01,391502,0.008009969335025735
94,2014-12-01,451097,0.1522214445903214
93,2015-01-01,350304,-0.22343974799211697
92,2015-02-01,341856,-0.024116196218141983
91,2015-03-01,393110,0.14992862491809422
90,2015-04-01,387375,-0.014588791941186896
89,2015-05-01,409482,0.057068731848983534
88,2015-06-01,397821,-0.02847744223189297
87,2015-07-01,406554,0.021952083977467174
86,2015-08-01,404920,-0.004019146288069986
85,2015-09-01,381992,-0.05662353057394054
84,2015-10-01,392604,0.027780686506523766
83,2015-11-01,396058,0.00879766889792255
82,2015-12-01,464035,0.1716339526029016
81,2016-01-01,351772,-0.24192787182001363
80,2016-02-01,363527,0.03341653116223009
79,2016-03-01,404996,0.11407405777287516
78,2016-04-01,394743,-0.025316299420241162
77,2016-05-01,413036,0.046341543738584345
76,2016-06-01,410071,-0.0071785510221868964
75,2016-07-01,405965,-0.010012900205086384
74,2016-08-01,416489,0.025923417043341113
73,2016-09-01,394200,-0.05351641940123264
72,2016-10-01,397394,0.008102486047691482
71,2016-11-01,413901,0.04153812085738595
70,2016-12-01,482002,0.16453451429206511
69,2017-01-01,369081,-0.23427496151468252
68,2017-02-01,365592,-0.009453209458086476
67,2017-03-01,423002,0.1570329766515679
66,2017-04-01,407240,-0.03726223516673677
65,2017-05-01,434506,0.0669531480208232
64,2017-06-01,423066,-0.026328750350973262
63,2017-07-01,416906,-0.014560375922432867
62,2017-08-01,431804,0.035734674003252476
61,2017-09-01,412546,-0.044598938407240274
60,2017-10-01,417773,0.012670102243143688
59,2017-11-01,441933,0.05783044859289621
58,2017-12-01,496765,0.12407310610431899
57,2018-01-01,389740,-0.21544392217648178
56,2018-02-01,380598,-0.02345666341663677
55,2018-03-01,444925,0.16901560176354047
54,2018-04-01,420209,-0.0555509355509356
53,2018-05-01,464271,0.10485734479746989
52,2018-06-01,443732,-0.04423924819771208
51,2018-07-01,441832,-0.004281863827715782
50,2018-08-01,456445,0.03307365695558495
49,2018-09-01,417510,-0.08530052908893737
48,2018-10-01,442256,0.0592704366362482
47,2018-11-01,460034,0.0401984371043016
46,2018-12-01,493873,0.0735576066116852
45,2019-01-01,399359,-0.19137308579331125
44,2019-02-01,384977,-0.036012710368365286
43,2019-03-01,447160,0.16152393519612862
42,2019-04-01,442704,-0.009965113158600936
41,2019-05-01,475656,0.07443348151360718
40,2019-06-01,448224,-0.057671930975326746
39,2019-07-01,461642,0.029935924894695543
38,2019-08-01,472891,0.024367366920687417
37,2019-09-01,428334,-0.09422255868688556
36,2019-10-01,455035,0.06233686795818216
35,2019-11-01,467311,0.02697814453833214
34,2019-12-01,518979,0.11056448489335802
33,2020-01-01,416285,-0.19787698538861875
32,2020-02-01,413203,-0.007403581680819671
31,2020-03-01,428285,0.03650021902067513
30,2020-04-01,375242,-0.12384977293157595
29,2020-05-01,460253,0.2265497998624888
28,2020-06-01,478667,0.040008430146028395
27,2020-07-01,492259,0.028395523401446132
26,2020-08-01,487134,-0.01041118598136348
25,2020-09-01,474284,-0.026378778734393427
24,2020-10-01,494134,0.04185256091287082
23,2020-11-01,491813,-0.004697106452905442
22,2020-12-01,558834,0.13627333966365263
21,2021-01-01,462558,-0.1722801404352634
20,2021-02-01,438933,-0.05107467604062621
19,2021-03-01,565764,0.2889529837127762
18,2021-04-01,557874,-0.013945744161876661
17,2021-05-01,567461,0.017184884041916204
16,2021-06-01,560679,-0.011951482128287227
15,2021-07-01,554845,-0.010405240788401215
14,2021-08-01,553822,-0.0018437581666952418
13,2021-09-01,532840,-0.03788581890932463
12,2021-10-01,557737,0.046725095713535
11,2021-11-01,579687,0.039355466823969065
10,2021-12-01,632849,0.0917081114463496
9,2022-01-01,518146,-0.1812486074877261
8,2022-02-01,506400,-0.022669286262945176
7,2022-03-01,597077,0.17906200631911529
6,2022-04-01,594426,-0.004439963354810228
5,2022-05-01,614474,0.03372665394851504
4,2022-06-01,609933,-0.007390060441938906
3,2022-07-01,600746,-0.015062310122587186
2,2022-08-01,613416,0.021090444214360238
1,2022-09-01,576853,-0.0596055531645735
0,2022-10-01,597492,0.03577861257547421
