,date,retail_sales,retail_sales_change
273,2000-01-01,213709,
272,2000-02-01,227087,0.06259914182369486
271,2000-03-01,253717,0.11726783127171525
270,2000-04-01,239051,-0.05780456177552151
269,2000-05-01,257581,0.07751483992955488
268,2000-06-01,255066,-0.00976391892259132
267,2000-07-01,244445,-0.04164020292786963
266,2000-08-01,257487,0.05335351510564745
265,2000-09-01,243624,-0.05383961132018311
264,2000-10-01,245167,0.006333530358257011
263,2000-11-01,252145,0.028462231866442034
262,2000-12-01,294197,0.166777052886236
261,2001-01-01,226791,-0.22911858380608907
260,2001-02-01,223971,-0.012434355860682311
259,2001-03-01,253439,0.13157060512298457
258,2001-04-01,249062,-0.017270427992534643
257,2001-05-01,268658,0.07867920437481435
256,2001-06-01,260315,-0.031054351629208887
255,2001-07-01,251504,-0.0338474540460596
254,2001-08-01,266460,0.05946625103378067
253,2001-09-01,236210,-0.11352548224874282
252,2001-10-01,265188,0.12267897210109657
251,2001-11-01,262004,-0.012006576466506824
250,2001-12-01,298666,0.13992916138684897
249,2002-01-01,230546,-0.22808086625193358
248,2002-02-01,228084,-0.010678996816253616
247,2002-03-01,257133,0.12736097227337306
246,2002-04-01,257357,0.0008711445049838229
245,2002-05-01,271682,0.0556619792739268
244,2002-06-01,260385,-0.04158170213705725
243,2002-07-01,266795,0.024617393475046656
242,2002-08-01,277716,0.040934050488202534
241,2002-09-01,246350,-0.11294271846058568
240,2002-10-01,259945,0.05518571138623907
239,2002-11-01,263738,0.014591548212121719
238,2002-12-01,308821,0.17093858298766196
237,2003-01-01,242271,-0.21549700311831121
236,2003-02-01,233478,-0.036294067387347195
235,2003-03-01,264532,0.1330061076418334
234,2003-04-01,265990,0.005511620522280936
233,2003-05-01,281482,0.058242791082371514
232,2003-06-01,271242,-0.036378880354694054
231,2003-07-01,279323,0.0297925837444053
230,2003-08-01,285212,0.021083118826591418
229,2003-09-01,265331,-0.06970604322398777
228,2003-10-01,273781,0.03184701373002019
227,2003-11-01,272396,-0.005058787863292169
226,2003-12-01,327693,0.2030022467290269
225,2004-01-01,252818,-0.22849130130945727
224,2004-02-01,253689,0.0034451660878576096
223,2004-03-01,287944,0.13502753371253773
222,2004-04-01,284325,-0.012568416080904643
221,2004-05-01,296253,0.04195199155895546
220,2004-06-01,289664,-0.02224112498438835
219,2004-07-01,294875,0.017989808882014957
218,2004-08-01,294133,-0.002516320474777456
217,2004-09-01,282974,-0.037938619604056645
216,2004-10-01,287468,0.015881317718235533
215,2004-11-01,294278,0.023689593276469134
214,2004-12-01,354627,0.20507479322273503
213,2005-01-01,263469,-0.25705318545965194
212,2005-02-01,265320,0.007025494460448867
211,2005-03-01,306384,0.15477159656264128
210,2005-04-01,302054,-0.014132591780249615
209,2005-05-01,311292,0.030583935322822997
208,2005-06-01,317375,0.019541138223918342
207,2005-07-01,316887,-0.0015376132335565007
206,2005-08-01,321409,0.01427007103478517
205,2005-09-01,300439,-0.0652439726330003
204,2005-10-01,302213,0.005904692799536759
203,2005-11-01,311715,0.03144140060156242
202,2005-12-01,370726,0.18931074860048436
201,2006-01-01,286152,-0.22813074885494944
200,2006-02-01,282417,-0.01305250356453913
199,2006-03-01,326153,0.1548631987451181
198,2006-04-01,316526,-0.0295168218596793
197,2006-05-01,337393,0.06592507408554105
196,2006-06-01,330844,-0.019410598323023942
195,2006-07-01,325905,-0.014928485932947266
194,2006-08-01,339155,0.04065601939215413
193,2006-09-01,310775,-0.08367855405345637
192,2006-10-01,312976,0.007082294264339151
191,2006-11-01,323089,0.03231238178007256
190,2006-12-01,380188,0.1767283937243298
189,2007-01-01,295284,-0.2233210937746588
188,2007-02-01,290065,-0.017674509963289564
187,2007-03-01,335917,0.1580749142433593
186,2007-04-01,321981,-0.04148643861430057
185,2007-05-01,353201,0.09696224311372403
184,2007-06-01,338189,-0.042502710920977016
