,date,gdp_per_capita,gdp_change
90,2000-01-01,45983.0,
89,2000-04-01,46704.0,
88,2000-07-01,46624.0,
87,2000-10-01,46777.0,
86,2001-01-01,46519.0,
85,2001-04-01,46698.0,
84,2001-07-01,46390.0,
83,2001-10-01,46400.0,
82,2002-01-01,46683.0,
81,2002-04-01,46866.0,
80,2002-07-01,46936.0,
79,2002-10-01,46883.0,
78,2003-01-01,47027.0,0.022704042798425528
77,2003-04-01,47342.0,0.0136605001712915
76,2003-07-01,48012.0,0.029770075497597803
75,2003-10-01,48450.0,0.03576544028047968
74,2004-01-01,48633.0,0.0454437971581505
73,2004-04-01,48905.0,0.047261124673433574
72,2004-07-01,49243.0,0.06150032334554867
71,2004-10-01,49623.0,0.06946120689655166
70,2005-01-01,50068.0,0.0725103356682304
69,2005-04-01,50204.0,0.0712243417402807
68,2005-07-01,50470.0,0.07529401738537578
67,2005-10-01,50629.0,0.07990103022417516
66,2006-01-01,51200.0,0.0887362578944011
65,2006-04-01,51210.0,0.08170335009082841
64,2006-07-01,51155.0,0.0654628009664251
63,2006-10-01,51455.0,0.062022703818369385
62,2007-01-01,51492.0,0.058787243229905695
61,2007-04-01,51705.0,0.0572538595235661
60,2007-07-01,51882.0,0.05359137339317255
59,2007-10-01,52066.0,0.04923120327267605
58,2008-01-01,51740.0,0.03339458336662138
57,2008-04-01,51923.0,0.0342402995777229
56,2008-07-01,51523.0,0.020863879532395435
55,2008-10-01,50281.0,-0.0068735309802682165
54,2009-01-01,49594.0,-0.031367187500000004
53,2009-04-01,49408.0,-0.03518843975785979
52,2009-07-01,49473.0,-0.032880461342977174
51,2009-10-01,49886.0,-0.030492663492372007
50,2010-01-01,50036.0,-0.028276237085372524
49,2010-04-01,50424.0,-0.024775166811720317
48,2010-07-01,50706.0,-0.022666820862726977
47,2010-10-01,50859.0,-0.023182115007874593
46,2011-01-01,50646.0,-0.021144182450715143
45,2011-04-01,50897.0,-0.019760029274117463
44,2011-07-01,50769.0,-0.014634241018574246
43,2011-10-01,51232.0,0.01891370497802347
42,2012-01-01,51559.0,0.03962172843489142
41,2012-04-01,51702.0,0.04642972797927469
40,2012-07-01,51684.0,0.044691043599539126
39,2012-10-01,51634.0,0.03503989095136917
38,2013-01-01,51998.0,0.039211767527380204
37,2013-04-01,51982.0,0.030897985086466795
36,2013-07-01,52284.0,0.03112057744645602
35,2013-10-01,52544.0,0.033130812638864304
34,2014-01-01,52266.0,0.031986731429925364
33,2014-04-01,52840.0,0.038175138023852195
32,2014-07-01,53340.0,0.05064113927790581
31,2014-10-01,53464.0,0.04356652092442226
30,2015-01-01,53806.0,0.04358114005314295
29,2015-04-01,54021.0,0.04485319716838809
28,2015-07-01,54081.0,0.04637798931971204
27,2015-10-01,54045.0,0.046694038811635696
26,2016-01-01,54267.0,0.04363629370360389
25,2016-04-01,54334.0,0.04524643145704288
24,2016-07-01,54549.0,0.043321092494835955
23,2016-10-01,54714.0,0.04129872107186361
22,2017-01-01,54866.0,0.04974553246852631
21,2017-04-01,55057.0,0.041956850870552564
20,2017-07-01,55413.0,0.03886389201349827
19,2017-10-01,55877.0,0.0451331737243752
18,2018-01-01,56195.0,0.044400252759915215
17,2018-04-01,56512.0,0.04611169730290077
16,2018-07-01,56831.0,0.050849651448752864
15,2018-10-01,56851.0,0.051919696549171945
14,2019-01-01,57100.0,0.052204839036615214
13,2019-04-01,57418.0,0.05676003975411348
12,2019-07-01,57845.0,0.0604227391886194
11,2019-10-01,58017.0,0.0603684614541069
10,2020-01-01,57279.0,0.04397987824882432
9,2020-04-01,52394.0,-0.04836805492489604
8,2020-07-01,56484.0,0.019327594607763565
7,2020-10-01,57005.0,0.02018719687885895
6,2021-01-01,57889.0,0.030145030696681285
5,2021-04-01,58864.0,0.04161947904869767
4,2021-07-01,59202.0,0.041720187925603947
3,2021-10-01,60154.0,0.058099241877891394
2,2022-01-01,59877.0,0.04863397548161119
1,2022-04-01,59756.0,0.040718938312027664
0,2022-07-01,60082.0,0.03867231394243231
