,date,non_farm_payroll,payroll_change
273,2000-01-01,128992,
272,2000-02-01,129655,0.005139853634333891
271,2000-03-01,130751,0.008453202730322795
270,2000-04-01,131749,0.0076328288120166565
269,2000-05-01,132705,0.007256222058611428
268,2000-06-01,133217,0.003858181681172468
267,2000-07-01,131998,-0.00915048379711303
266,2000-08-01,132009,8.333459597875681e-05
265,2000-09-01,132677,0.005060261042807657
264,2000-10-01,133236,0.004213239672286928
263,2000-11-01,133600,0.0027319943558798965
262,2000-12-01,133542,-0.0004341317365269548
261,2001-01-01,130668,-0.021521319135552885
260,2001-02-01,131334,0.0050968867664615836
259,2001-03-01,131929,0.004530433855665761
258,2001-04-01,132335,0.003077412850851502
257,2001-05-01,133042,0.005342501983602199
256,2001-06-01,133420,0.002841208039566556
255,2001-07-01,131932,-0.01115275071203714
254,2001-08-01,131861,-0.0005381560197678104
253,2001-09-01,132127,0.002017275767664417
252,2001-10-01,132329,0.001528832108501632
251,2001-11-01,132141,-0.0014207014335482215
250,2001-12-01,131759,-0.0028908514389931472
249,2002-01-01,128875,-0.021888447847964843
248,2002-02-01,129347,0.0036624636275459643
247,2002-03-01,129954,0.004692803080086794
246,2002-04-01,130543,0.004532372993520717
245,2002-05-01,131314,0.005906099905778284
244,2002-06-01,131696,0.002909057678541549
243,2002-07-01,130254,-0.010949459360952485
242,2002-08-01,130340,0.0006602484376678763
241,2002-09-01,130860,0.003989565751112423
240,2002-10-01,131530,0.005119975546385547
239,2002-11-01,131651,0.0009199422185053319
238,2002-12-01,131243,-0.0030991029312348317
237,2003-01-01,128561,-0.020435375600984407
236,2003-02-01,128978,0.00324359642504346
235,2003-03-01,129474,0.003845617081982944
234,2003-04-01,130132,0.005082101425768926
233,2003-05-01,130892,0.005840223772784592
232,2003-06-01,131222,0.0025211624851022574
231,2003-07-01,129883,-0.010204081632653073
230,2003-08-01,129936,0.0004080595612974136
229,2003-09-01,130591,0.0050409432335918325
228,2003-10-01,131384,0.006072393962830436
227,2003-11-01,131548,0.0012482494063204008
226,2003-12-01,131368,-0.00136832182929425
225,2004-01-01,128709,-0.02024085013092991
224,2004-02-01,129320,0.004747142779448321
223,2004-03-01,130361,0.008049798948345233
222,2004-04-01,131477,0.008560842583287931
221,2004-05-01,132380,0.006868121420476658
220,2004-06-01,132825,0.003361534975071745
219,2004-07-01,131664,-0.008740824392998281
218,2004-08-01,131685,0.00015949690120309334
217,2004-09-01,132400,0.005429623723278931
216,2004-10-01,133380,0.007401812688821785
215,2004-11-01,133631,0.0018818413555254931
214,2004-12-01,133400,-0.001728640809393056
213,2005-01-01,130696,-0.02026986506746631
212,2005-02-01,131519,0.006297055762991999
211,2005-03-01,132358,0.00637930641200124
210,2005-04-01,133572,0.009172093866634423
209,2005-05-01,134385,0.006086604977090904
208,2005-06-01,135054,0.004978234177921648
207,2005-07-01,133993,-0.007856116812534286
206,2005-08-01,134244,0.0018732321837708898
205,2005-09-01,134871,0.004670599803343167
204,2005-10-01,135599,0.005397750443015825
203,2005-11-01,136157,0.004115074594945423
202,2005-12-01,135956,-0.0014762369911205386
201,2006-01-01,133303,-0.01951366618611905
200,2006-02-01,134228,0.006939078640390672
199,2006-03-01,135209,0.007308460231844283
198,2006-04-01,136123,0.006759905035907288
197,2006-05-01,136928,0.0059137691646524715
196,2006-06-01,137432,0.003680766534236879
195,2006-07-01,136255,-0.008564235403690557
194,2006-08-01,136462,0.0015192103042089844
193,2006-09-01,137131,0.004902463689525183
192,2006-10-01,137831,0.005104608002566957
191,2006-11-01,138217,0.002800531085169533
190,2006-12-01,138106,-0.0008030850040153803
189,2007-01-01,135317,-0.020194633107902593
188,2007-02-01,136008,0.005106527635108771
187,2007-03-01,136906,0.006602552791012295
186,2007-04-01,137712,0.005887251106598601
185,2007-05-01,138655,0.006847624026954824
184,2007-06-01,139157,0.0036204969168078804
183,2007-07-01,137760,-0.010039020674489918
182,2007-08-01,137872,0.0008130081300812275
