,date,unemployment_rate,unemployment_change
140,2011-02-01,9.0,-0.01098901098901095
139,2011-03-01,9.0,0.0
138,2011-04-01,9.1,0.011111111111111072
137,2011-05-01,9.0,-0.01098901098901095
136,2011-06-01,9.1,0.011111111111111072
135,2011-07-01,9.0,-0.01098901098901095
134,2011-08-01,9.0,0.0
133,2011-09-01,9.0,0.0
132,2011-10-01,8.8,-0.022222222222222143
131,2011-11-01,8.6,-0.022727272727272818
130,2011-12-01,8.5,-0.011627906976744096
129,2012-01-01,8.3,-0.0235294117647058
128,2012-02-01,8.3,0.0
127,2012-03-01,8.2,-0.012048192771084487
126,2012-04-01,8.2,0.0
125,2012-05-01,8.2,0.0
124,2012-06-01,8.2,0.0
123,2012-07-01,8.2,0.0
122,2012-08-01,8.1,-0.012195121951219523
121,2012-09-01,7.8,-0.03703703703703698
120,2012-10-01,7.8,0.0
119,2012-11-01,7.7,-0.012820512820512775
118,2012-12-01,7.9,0.025974025974025983
117,2013-01-01,8.0,0.012658227848101111
116,2013-02-01,7.7,-0.03749999999999998
115,2013-03-01,7.5,-0.025974025974025983
114,2013-04-01,7.6,0.013333333333333197
113,2013-05-01,7.5,-0.013157894736842035
112,2013-06-01,7.5,0.0
111,2013-07-01,7.3,-0.026666666666666727
110,2013-08-01,7.2,-0.013698630136986245
109,2013-09-01,7.2,0.0
108,2013-10-01,7.2,0.0
107,2013-11-01,6.9,-0.04166666666666663
106,2013-12-01,6.7,-0.02898550724637683
105,2014-01-01,6.6,-0.014925373134328401
104,2014-02-01,6.7,0.015151515151515138
103,2014-03-01,6.7,0.0
102,2014-04-01,6.2,-0.07462686567164178
101,2014-05-01,6.3,0.016129032258064502
100,2014-06-01,6.1,-0.031746031746031744
99,2014-07-01,6.2,0.016393442622950838
98,2014-08-01,6.1,-0.016129032258064613
97,2014-09-01,5.9,-0.032786885245901565
96,2014-10-01,5.7,-0.03389830508474578
95,2014-11-01,5.8,0.01754385964912264
94,2014-12-01,5.6,-0.034482758620689724
93,2015-01-01,5.7,0.017857142857143016
92,2015-02-01,5.5,-0.03508771929824561
91,2015-03-01,5.4,-0.018181818181818077
90,2015-04-01,5.4,0.0
89,2015-05-01,5.6,0.03703703703703698
88,2015-06-01,5.3,-0.05357142857142849
87,2015-07-01,5.2,-0.01886792452830177
86,2015-08-01,5.1,-0.019230769230769384
85,2015-09-01,5.0,-0.019607843137254832
84,2015-10-01,5.0,0.0
83,2015-11-01,5.1,0.020000000000000018
82,2015-12-01,5.0,-0.019607843137254832
81,2016-01-01,4.8,-0.040000000000000036
80,2016-02-01,4.9,0.02083333333333348
79,2016-03-01,5.0,0.020408163265306145
78,2016-04-01,5.1,0.020000000000000018
77,2016-05-01,4.8,-0.05882352941176472
76,2016-06-01,4.9,0.02083333333333348
75,2016-07-01,4.8,-0.020408163265306256
74,2016-08-01,4.9,0.02083333333333348
73,2016-09-01,5.0,0.020408163265306145
72,2016-10-01,4.9,-0.019999999999999907
71,2016-11-01,4.7,-0.04081632653061229
70,2016-12-01,4.7,0.0
69,2017-01-01,4.7,0.0
68,2017-02-01,4.6,-0.021276595744680993
67,2017-03-01,4.4,-0.04347826086956508
66,2017-04-01,4.4,0.0
65,2017-05-01,4.4,0.0
64,2017-06-01,4.3,-0.022727272727272818
63,2017-07-01,4.3,0.0
62,2017-08-01,4.4,0.023255813953488413
61,2017-09-01,4.3,-0.022727272727272818
60,2017-10-01,4.2,-0.023255813953488302
59,2017-11-01,4.2,0.0
58,2017-12-01,4.1,-0.023809523809523947
57,2018-01-01,4.0,-0.024390243902438935
56,2018-02-01,4.1,0.02499999999999991
55,2018-03-01,4.0,-0.024390243902438935
54,2018-04-01,4.0,0.0
53,2018-05-01,3.8,-0.050000000000000044
52,2018-06-01,4.0,0.05263157894736836
51,2018-07-01,3.8,-0.050000000000000044
50,2018-08-01,3.8,0.0
49,2018-09-01,3.7,-0.02631578947368407
48,2018-10-01,3.8,0.027027027027026973
47,2018-11-01,3.8,0.0
46,2018-12-01,3.9,0.026315789473684292
45,2019-01-01,4.0,0.025641025641025772
44,2019-02-01,3.8,-0.050000000000000044
43,2019-03-01,3.8,0.0
42,2019-04-01,3.6,-0.05263157894736836
41,2019-05-01,3.6,0.0
40,2019-06-01,3.6,0.0
39,2019-07-01,3.7,0.0277777777777779
38,2019-08-01,3.7,0.0
37,2019-09-01,3.5,-0.05405405405405406
36,2019-10-01,3.6,0.028571428571428692
35,2019-11-01,3.6,0.0
34,2019-12-01,3.6,0.0
33,2020-01-01,3.5,-0.02777777777777779
32,2020-02-01,3.5,0.0
31,2020-03-01,4.4,0.25714285714285734
30,2020-04-01,14.7,2.3409090909090904
29,2020-05-01,13.2,-0.10204081632653061
28,2020-06-01,11.0,-0.16666666666666663
27,2020-07-01,10.2,-0.07272727272727275
26,2020-08-01,8.4,-0.17647058823529405
