,date,CPI
34,2019-12-01,256.974
33,2020-01-01,257.971
32,2020-02-01,258.678
31,2020-03-01,258.115
30,2020-04-01,256.389
29,2020-05-01,256.394
28,2020-06-01,257.797
27,2020-07-01,259.101
26,2020-08-01,259.918
25,2020-09-01,260.28
24,2020-10-01,260.388
23,2020-11-01,260.229
22,2020-12-01,260.474
21,2021-01-01,261.582
20,2021-02-01,263.014
19,2021-03-01,264.877
18,2021-04-01,267.054
17,2021-05-01,269.195
16,2021-06-01,271.696
15,2021-07-01,273.003
14,2021-08-01,273.567
13,2021-09-01,274.31
12,2021-10-01,276.589
11,2021-11-01,277.948
10,2021-12-01,278.802
9,2022-01-01,281.148
8,2022-02-01,283.716
7,2022-03-01,287.504
6,2022-04-01,289.109
5,2022-05-01,292.296
4,2022-06-01,296.311
3,2022-07-01,296.276
2,2022-08-01,296.171
1,2022-09-01,296.808
0,2022-10-01,298.012
