,date,usd_price
0,2000-01-03,100.22000122070312
1,2000-01-04,100.41000366210938
2,2000-01-05,100.37999725341797
3,2000-01-06,100.6500015258789
4,2000-01-07,100.80000305175781
5,2000-01-10,100.98999786376953
6,2000-01-11,100.55999755859375
7,2000-01-12,100.62000274658203
8,2000-01-13,101.0
9,2000-01-14,101.72000122070312
10,2000-01-17,102.05000305175781
11,2000-01-18,101.86000061035156
12,2000-01-19,101.76000213623047
13,2000-01-20,101.36000061035156
14,2000-01-21,101.76000213623047
15,2000-01-24,102.19999694824219
16,2000-01-25,102.41000366210938
17,2000-01-26,102.44000244140625
18,2000-01-27,103.16999816894531
19,2000-01-28,104.4800033569336
20,2000-01-31,105.12999725341797
21,2000-02-01,104.91999816894531
22,2000-02-02,104.79000091552734
23,2000-02-03,103.80000305175781
24,2000-02-04,104.29000091552734
25,2000-02-07,104.63999938964844
26,2000-02-08,104.22000122070312
27,2000-02-09,103.68000030517578
28,2000-02-10,104.12999725341797
29,2000-02-11,104.19000244140625
30,2000-02-14,104.72000122070312
31,2000-02-15,104.69000244140625
32,2000-02-16,104.27999877929688
33,2000-02-17,104.2699966430664
34,2000-02-18,104.62999725341797
35,2000-02-21,104.58000183105469
36,2000-02-22,103.27999877929688
37,2000-02-23,103.52999877929688
38,2000-02-24,104.01000213623047
39,2000-02-25,105.26000213623047
40,2000-02-28,105.2699966430664
41,2000-02-29,105.91999816894531
42,2000-03-01,104.88999938964844
43,2000-03-02,105.6500015258789
44,2000-03-03,106.0
45,2000-03-06,106.16000366210938
46,2000-03-07,106.08999633789062
47,2000-03-08,105.93000030517578
48,2000-03-09,105.37000274658203
49,2000-03-10,105.70999908447266
50,2000-03-13,105.5
51,2000-03-14,105.30000305175781
52,2000-03-15,105.37999725341797
53,2000-03-16,105.18000030517578
54,2000-03-17,105.19999694824219
55,2000-03-20,105.1500015258789
56,2000-03-21,105.80999755859375
57,2000-03-22,106.04000091552734
58,2000-03-23,105.2300033569336
59,2000-03-24,104.7699966430664
60,2000-03-27,105.44999694824219
61,2000-03-28,105.52999877929688
62,2000-03-29,106.25
63,2000-03-30,105.47000122070312
64,2000-03-31,105.44000244140625
65,2000-04-03,105.54000091552734
66,2000-04-04,105.16999816894531
67,2000-04-05,105.29000091552734
68,2000-04-06,105.5199966430664
69,2000-04-07,105.97000122070312
70,2000-04-10,105.68000030517578
71,2000-04-11,105.94000244140625
72,2000-04-12,105.95999908447266
73,2000-04-13,106.13999938964844
74,2000-04-14,105.75
75,2000-04-17,106.12999725341797
76,2000-04-18,106.62999725341797
77,2000-04-19,107.12999725341797
78,2000-04-20,107.44999694824219
79,2000-04-24,107.27999877929688
80,2000-04-25,108.69000244140625
81,2000-04-26,108.55000305175781
82,2000-04-27,109.56999969482422
83,2000-04-28,110.13999938964844
84,2000-05-01,109.62999725341797
85,2000-05-02,110.26000213623047
86,2000-05-03,111.26000213623047
87,2000-05-04,111.80000305175781
88,2000-05-05,111.30999755859375
89,2000-05-08,111.44999694824219
90,2000-05-09,110.75
91,2000-05-10,110.80000305175781
92,2000-05-11,111.5199966430664
93,2000-05-12,109.9000015258789
94,2000-05-15,110.55999755859375
95,2000-05-16,111.30999755859375
96,2000-05-17,112.0999984741211
97,2000-05-18,112.20999908447266
98,2000-05-19,111.47000122070312
99,2000-05-22,111.05999755859375
100,2000-05-23,111.13999938964844
101,2000-05-24,111.22000122070312
102,2000-05-25,110.75
103,2000-05-26,109.12000274658203
104,2000-05-30,108.93000030517578
105,2000-05-31,108.73999786376953
106,2000-06-01,109.05000305175781
107,2000-06-02,108.12000274658203
108,2000-06-05,107.45999908447266
109,2000-06-06,106.58999633789062
110,2000-06-07,106.18000030517578
111,2000-06-08,106.70999908447266
112,2000-06-09,106.98999786376953
113,2000-06-12,106.97000122070312
114,2000-06-13,106.4000015258789
115,2000-06-14,106.45999908447266
116,2000-06-15,106.87999725341797
117,2000-06-16,105.95999908447266
118,2000-06-19,106.33000183105469
119,2000-06-20,106.33000183105469
120,2000-06-21,107.43000030517578
121,2000-06-22,107.70999908447266
122,2000-06-23,108.01000213623047
123,2000-06-26,108.11000061035156
124,2000-06-27,107.36000061035156
125,2000-06-28,107.5999984741211
126,2000-06-29,106.83999633789062
127,2000-06-30,106.83999633789062
128,2000-07-03,107.05999755859375
129,2000-07-04,107.29000091552734
130,2000-07-05,107.12000274658203
131,2000-07-06,107.37000274658203
132,2000-07-07,107.6500015258789
133,2000-07-10,107.01000213623047
134,2000-07-11,107.13999938964844
135,2000-07-12,108.12000274658203
136,2000-07-13,108.54000091552734
137,2000-07-14,108.44999694824219
138,2000-07-17,108.69999694824219
139,2000-07-18,109.37999725341797
140,2000-07-19,109.58999633789062
141,2000-07-20,108.61000061035156
142,2000-07-21,108.41999816894531
143,2000-07-24,108.69000244140625
144,2000-07-25,108.37999725341797
145,2000-07-26,108.11000061035156
146,2000-07-27,108.88999938964844
147,2000-07-28,109.73999786376953
148,2000-07-31,109.56999969482422
149,2000-08-01,110.05000305175781
150,2000-08-02,110.66999816894531
151,2000-08-03,110.9800033569336
152,2000-08-04,110.8499984741211
153,2000-08-07,110.80000305175781
154,2000-08-08,111.31999969482422
155,2000-08-09,111.44000244140625
156,2000-08-10,110.9000015258789
157,2000-08-11,111.20999908447266
158,2000-08-14,111.08000183105469
159,2000-08-15,110.51000213623047
160,2000-08-16,110.26000213623047
161,2000-08-17,110.11000061035156
162,2000-08-18,111.01000213623047
163,2000-08-21,111.45999908447266
164,2000-08-22,111.79000091552734
