,date,retail_sales
138,2011-04-01,339014
137,2011-05-01,348979
136,2011-06-01,346620
135,2011-07-01,341381
134,2011-08-01,352224
133,2011-09-01,333642
132,2011-10-01,337067
131,2011-11-01,351517
130,2011-12-01,408910
129,2012-01-01,315540
128,2012-02-01,331470
127,2012-03-01,368502
126,2012-04-01,349194
125,2012-05-01,373129
124,2012-06-01,356083
123,2012-07-01,351520
122,2012-08-01,372986
121,2012-09-01,342582
120,2012-10-01,355823
119,2012-11-01,368593
118,2012-12-01,416807
117,2013-01-01,333695
116,2013-02-01,332486
115,2013-03-01,374171
114,2013-04-01,362964
113,2013-05-01,389681
112,2013-06-01,369316
111,2013-07-01,376974
110,2013-08-01,388227
109,2013-09-01,352680
108,2013-10-01,369773
107,2013-11-01,378686
106,2013-12-01,430585
105,2014-01-01,340476
104,2014-02-01,337481
103,2014-03-01,383567
102,2014-04-01,383816
101,2014-05-01,408288
100,2014-06-01,385482
99,2014-07-01,394700
98,2014-08-01,401450
97,2014-09-01,374401
96,2014-10-01,388391
95,2014-11-01,391502
94,2014-12-01,451097
93,2015-01-01,350304
92,2015-02-01,341856
91,2015-03-01,393110
90,2015-04-01,387375
89,2015-05-01,409482
88,2015-06-01,397821
87,2015-07-01,406554
86,2015-08-01,404920
85,2015-09-01,381992
84,2015-10-01,392604
83,2015-11-01,396058
82,2015-12-01,464035
81,2016-01-01,351772
80,2016-02-01,363527
79,2016-03-01,404996
78,2016-04-01,394743
77,2016-05-01,413036
76,2016-06-01,410071
75,2016-07-01,405965
74,2016-08-01,416489
73,2016-09-01,394200
72,2016-10-01,397394
71,2016-11-01,413901
70,2016-12-01,482002
69,2017-01-01,369081
68,2017-02-01,365592
67,2017-03-01,423002
66,2017-04-01,407240
65,2017-05-01,434506
64,2017-06-01,423066
63,2017-07-01,416906
62,2017-08-01,431804
61,2017-09-01,412546
60,2017-10-01,417773
59,2017-11-01,441933
58,2017-12-01,496765
57,2018-01-01,389740
56,2018-02-01,380598
55,2018-03-01,444925
54,2018-04-01,420209
53,2018-05-01,464271
52,2018-06-01,443732
51,2018-07-01,441832
50,2018-08-01,456445
49,2018-09-01,417510
48,2018-10-01,442256
47,2018-11-01,460034
46,2018-12-01,493873
45,2019-01-01,399359
44,2019-02-01,384977
43,2019-03-01,447160
42,2019-04-01,442704
41,2019-05-01,475656
40,2019-06-01,448224
39,2019-07-01,461642
38,2019-08-01,472891
37,2019-09-01,428334
36,2019-10-01,455035
35,2019-11-01,467311
34,2019-12-01,518979
33,2020-01-01,416285
32,2020-02-01,413203
31,2020-03-01,428285
30,2020-04-01,375242
29,2020-05-01,460253
28,2020-06-01,478667
27,2020-07-01,492259
26,2020-08-01,487134
25,2020-09-01,474284
24,2020-10-01,494134
23,2020-11-01,491813
22,2020-12-01,558834
21,2021-01-01,462558
20,2021-02-01,438933
19,2021-03-01,565764
18,2021-04-01,557874
17,2021-05-01,567461
16,2021-06-01,560679
15,2021-07-01,554845
14,2021-08-01,553822
13,2021-09-01,532840
12,2021-10-01,557737
11,2021-11-01,579687
10,2021-12-01,632849
9,2022-01-01,518146
8,2022-02-01,506400
7,2022-03-01,597077
6,2022-04-01,594426
5,2022-05-01,614474
4,2022-06-01,609933
3,2022-07-01,600746
2,2022-08-01,613416
1,2022-09-01,576853
0,2022-10-01,597492
