,date,inf_exp
44,2019-02-01,0.026
43,2019-03-01,0.025
42,2019-04-01,0.025
41,2019-05-01,0.0289999999999999
40,2019-06-01,0.027
39,2019-07-01,0.026
38,2019-08-01,0.027
37,2019-09-01,0.0279999999999999
36,2019-10-01,0.025
35,2019-11-01,0.025
34,2019-12-01,0.023
33,2020-01-01,0.025
32,2020-02-01,0.024
31,2020-03-01,0.022
30,2020-04-01,0.021
29,2020-05-01,0.032
28,2020-06-01,0.03
27,2020-07-01,0.03
26,2020-08-01,0.031
25,2020-09-01,0.026
24,2020-10-01,0.026
23,2020-11-01,0.0279999999999999
22,2020-12-01,0.025
21,2021-01-01,0.03
20,2021-02-01,0.033
19,2021-03-01,0.031
18,2021-04-01,0.034
17,2021-05-01,0.046
16,2021-06-01,0.042
15,2021-07-01,0.047
14,2021-08-01,0.046
13,2021-09-01,0.046
12,2021-10-01,0.048
11,2021-11-01,0.049
10,2021-12-01,0.048
9,2022-01-01,0.049
8,2022-02-01,0.049
7,2022-03-01,0.054
6,2022-04-01,0.054
5,2022-05-01,0.053
4,2022-06-01,0.053
3,2022-07-01,0.052
2,2022-08-01,0.048
1,2022-09-01,0.047
0,2022-10-01,0.05
